Den,1590,74,2
Eindhoven,2295,140,4
Amsterdam,3500,175,5
Amsterdam,3250,134,4
Den,1950,100,5
Zwolle,850,35,1
Den,1600,80,3
Rotterdam,3400,126,3
Amsterdam,3750,120,3
Rotterdam,514,85,1
Amsterdam,2500,55,3
Amsterdam,3250,89,3
Deventer,1050,80,3
Rotterdam,1495,90,5
Almere,1250,85,3
Maastricht,943,38,2
Arnhem,850,80,3
Haarlem,1850,72,2
Amstelveen,2750,112,3
Vlissingen,1855,129,5
Hoofddorp,1895,85,3
Maastricht,1054,21,1
Amersfoort,1073,88,3
Utrecht,1395,88,3
Amsterdam,2950,75,3
Almelo,625,42,2
Amsterdam,2250,78,3
Eindhoven,1650,97,3
Eindhoven,1695,102,5
Eindhoven,1700,76,2
Rotterdam,892,65,4
Eindhoven,2150,75,4
Den,1590,74,2
Amsterdam,2650,58,3
Amsterdam,2450,65,3
Brunssum,932,12,1
Amsterdam,4500,116,3
Amsterdam,1895,82,3
Den,1160,42,2
Rotterdam,2350,206,4
Amstelveen,5250,220,7
Sittard,798,42,1
Schiedam,1600,94,3
Eindhoven,1700,60,2
Rijswijk,2150,145,3
Amsterdam,5300,105,5
Amsterdam,2900,116,4
Amstelveen,2300,72,3
Enschede,425,12,11
Delft,1425,72,3
Rotterdam,2250,115,3
Arnhem,525,20,1
Rotterdam,1650,93,3
Nieuwerkerk,2495,144,5
Enschede,2500,159,4
Amsterdam,2600,70,3
Leeuwarden,495,25,2
Maastricht,919,28,1
Amsterdam,7000,200,3
Halfweg,1400,36,1
Eindhoven,1750,105,4
Waalre,1800,161,5
Den,1595,104,2
Amstelveen,3650,150,6
Amsterdam,2650,58,3
Eindhoven,1850,138,4
Amsterdam,7500,132,4
Amsterdam,2500,75,3
Tilburg,1300,57,2
Rotterdam,1350,53,2
Groningen,1750,75,3
Uden,1450,82,3
Groningen,1350,50,3
Amstelveen,6950,222,5
Amsterdam,3900,159,3
Hoofddorp,2500,130,5
Enschede,525,20,1
Amsterdam,3750,130,3
Hoogvliet,2750,106,4
Assen,1200,60,3
Enschede,350,8,1
Amsterdam,2100,114,5
Amsterdam,2150,54,2
Menaam,1495,179,6
Amstelveen,3650,124,3
Hengelo,1000,75,3
Amstelveen,3050,93,3
Haarlem,1975,115,2
Amsterdam,2850,100,3
Amsterdam,3500,143,4
Roosendaal,1095,50,2
Rotterdam,2450,120,3
Leuth,795,50,2
Eindhoven,995,42,2
Leeuwarden,1150,74,3
Oirschot,1595,125,4
Eindhoven,1850,138,4
Den,1590,74,2
Pijnacker,1450,80,3
Amstelveen,2750,108,5
Tilburg,875,65,1
Maastricht,1450,126,4
Amsterdam,2850,67,2
Heerlen,1150,123,6
Veldhoven,1060,55,2
Amsterdam,3500,122,4
Amsterdam,2200,86,3
Amsterdam,2650,86,3
Almere,1115,44,1
Amsterdam,4800,224,4
Amsterdam,8500,205,4
Geleen,1179,64,1
Maastricht,564,15,1
Haarlem,2100,80,3
Amsterdam,2100,87,3
Arnhem,485,13,1
Haarlem,1400,45,2
Haarlem,1600,30,1
Zandvoort,2000,85,2
Zandvoort,2400,144,3
Haarlem,1800,50,2
Haarlem,1600,30,1
Haarlem,1600,45,2
Vlaardingen,606,15,1
Heerlen,995,115,3
Rotterdam,2000,71,3
Bergen,1050,60,1
Rotterdam,2000,71,3
Eindhoven,1850,138,4
Amsterdam,2650,58,3
Capelle,2000,115,4
Leiden,2100,67,3
Zwolle,547,12,1
Uithoorn,1500,40,2
Goedereede,1900,35,1
Rotterdam,2250,110,2
Groningen,635,21,1
Den,1950,95,3
Amsterdam,2450,70,3
Amsterdam,3750,130,5
Amsterdam,2645,171,3
Hilversum,2000,125,5
Purmerend,2250,107,5
Amsterdam,2500,65,3
Elst,763,70,2
Zwolle,295,14,1
Zwolle,345,15,1
Amsterdam,2250,60,2
Amsterdam,2550,80,3
Enschede,1300,134,4
Amsterdam,2750,87,2
Amsterdam,3200,100,4
